;match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
44;7686851655;2481;1713158211;9332069.0;Mister Maniacs;8893840.0;Big Bang Gaming;16312;Ancients League;869134;1;31;54;False;21
45;7686851538;1334;1713158411;8829924.0;Rabbits of Revenge;9395679.0;Shinigami Gaming;15901;Ultras Dota Pro League  2023-24;869135;1;39;6;True;21
46;7686851213;1868;1713158258;2443375.0;Foxy gaming;8629317.0;Bright Crusaders;16059;Destiny League;869133;1;30;25;True;21
47;7686849436;2122;1713157995;8893837.0;Parallel eSports;8864178.0;Marvelous Warriors;16312;Ancients League;869125;1;28;39;False;21
48;7686829041;1409;1713156037;8864178.0;Marvelous Warriors;8893837.0;Parallel eSports;16312;Ancients League;869125;1;24;14;True;21
49;7686828993;1303;1713156032;9332046.0;Dominatrix;8961813.0;SHAOLIN;16312;Ancients League;869117;1;9;31;False;21
50;7686812463;1781;1713154639;8629317.0;Bright Crusaders;2443375.0;Foxy gaming;16059;Destiny League;869127;1;12;29;False;21
51;7686805094;1537;1713153741;8893837.0;Parallel eSports;8864178.0;Marvelous Warriors;16312;Ancients League;869125;1;28;9;True;21
52;7686797379;2498;1713152963;8961813.0;SHAOLIN;9332046.0;Dominatrix;16312;Ancients League;869117;1;26;38;False;21
53;7686775887;1610;1713150813;9332046.0;Dominatrix;8961813.0;SHAOLIN;16312;Ancients League;869117;1;16;28;False;21
54;7686723688;1776;1713145593;8936613.0;Wild Dragon;8849850.0;HELLBEAR HEROES;16109;Dota 2 Space League;869086;1;29;15;True;21
55;7686699458;1836;1713143033;8849850.0;HELLBEAR HEROES;8936613.0;Wild Dragon;16109;Dota 2 Space League;869086;1;36;37;False;21
56;7686668452;2593;1713139397;8849817.0;ZEUS THUNDER GOD;8849833.0;VERTEX PACK;16109;Dota 2 Space League;869069;1;44;50;False;21
57;7686641777;2184;1713136473;8849833.0;VERTEX PACK;8849817.0;ZEUS THUNDER GOD;16109;Dota 2 Space League;869069;1;28;37;False;21
58;7686611430;2261;1713133596;8849817.0;ZEUS THUNDER GOD;8849833.0;VERTEX PACK;16109;Dota 2 Space League;869069;1;28;27;False;21
59;7686576598;1799;1713130593;8849990.0;REAL ECLIPSE;9005364.0;Night Vision;16109;Dota 2 Space League;869064;1;30;24;True;21
60;7686535739;2117;1713127827;9005364.0;Night Vision;8849990.0;REAL ECLIPSE;16109;Dota 2 Space League;869054;1;38;32;True;21
61;7686486497;1632;1713124957;8849990.0;REAL ECLIPSE;9005364.0;Night Vision;16109;Dota 2 Space League;869041;1;35;13;True;21
62;7686429332;3210;1713122679;9247354.0;Team Falcons;8261500.0;Xtreme Gaming;16483;Elite League by FISSURE and ESB;868924;2;27;36;False;21
63;7686395200;3908;1713120612;8697185.0;Fantasy Gaming;9381358.0;Estar Backs!;15899;EPL World Series: America 2023-2024 Season ;868947;1;49;35;True;21
64;7686342256;2003;1713118924;8261500.0;Xtreme Gaming;9247354.0;Team Falcons;16483;Elite League by FISSURE and ESB;868924;2;29;7;True;21
65;7686324334;1631;1713117438;9381358.0;Estar Backs!;8697185.0;Fantasy Gaming;15899;EPL World Series: America 2023-2024 Season ;868947;1;10;38;False;21
66;7686301778;1567;1713116565;8831040.0;Ghost Sheep;9381131.0;Uzumaki;15901;Ultras Dota Pro League  2023-24;868912;1;23;45;False;21
67;7686276280;2652;1713115442;3259983.0;Kohzens+4 ;9397034.0;SOSATELI;16274;SIVVIT League;868956;0;39;26;True;21
68;7686265769;1827;1713115101;9366989.0;ASAKURA;2576071.0;Yellow Submarine;15898;European Pro League  2023-2024 Season;868901;1;32;8;True;21
69;7686251961;1796;1713114961;9247354.0;Team Falcons;8261500.0;Xtreme Gaming;16483;Elite League by FISSURE and ESB;868924;2;14;25;False;21
70;7686237791;1307;1713114250;9381358.0;Estar Backs!;8697185.0;Fantasy Gaming;15899;EPL World Series: America 2023-2024 Season ;868947;1;21;9;True;21
71;7686198981;2694;1713112380;8831040.0;Ghost Sheep;9381131.0;Uzumaki;15901;Ultras Dota Pro League  2023-24;868912;1;49;58;True;21
72;7686183715;1688;1713111796;9366989.0;ASAKURA;2576071.0;Yellow Submarine;15898;European Pro League  2023-2024 Season;868901;1;9;32;False;21
73;7686165027;2511;1713111100;9397034.0;SOSATELI;;;16274;SIVVIT League;0;0;36;26;True;21
74;7686151018;2637;1713110597;8261500.0;Xtreme Gaming;9247354.0;Team Falcons;16483;Elite League by FISSURE and ESB;868924;2;22;42;False;21
75;7686094129;3008;1713108584;9209880.0;Prodigy Of God;9344594.0;Dominion;15901;Ultras Dota Pro League  2023-24;868899;1;55;54;False;21
76;7686080097;2921;1713108244;9381131.0;Uzumaki;8831040.0;Ghost Sheep;15901;Ultras Dota Pro League  2023-24;868912;1;71;49;True;21
77;7686052684;2721;1713107299;5014799.0;Nemiga Gaming;9303665.0;NextUp;16290;WINLINE InSight Season 5;868883;1;38;26;True;21
78;7686034942;3423;1713106840;2576071.0;Yellow Submarine;9366989.0;ASAKURA;15898;European Pro League  2023-2024 Season;868901;1;34;46;False;21
79;7686024382;2892;1713106286;;;6017558.0;;16274;SIVVIT League;0;0;35;56;False;21
80;7686020195;1838;1713106145;9389594.0;Memento Mori;3259983.0;Kohzens+4 ;16274;SIVVIT League;868900;0;19;47;False;21
81;7686019582;1550;1713106124;;;;;16274;SIVVIT League;0;0;16;42;False;21
82;7686007710;1861;1713105772;9344594.0;Dominion;9209880.0;Prodigy Of God;15901;Ultras Dota Pro League  2023-24;868899;1;44;29;True;21
83;7685964955;1950;1713104350;9360721.0;KIBA ARMS;8831040.0;Ghost Sheep;15901;Ultras Dota Pro League  2023-24;868860;1;44;23;True;21
84;7685939952;2938;1713103921;8574561.0;Azure Ray;8261500.0;Xtreme Gaming;16483;Elite League by FISSURE and ESB;868868;1;20;29;False;21
85;7685908180;2846;1713103062;9303665.0;NextUp;5014799.0;Nemiga Gaming;16290;WINLINE InSight Season 5;868883;1;26;42;False;21
86;7685871222;2427;1713101303;9285890.0;Dirt Devils;3259983.0;Kohzens+4 ;16274;SIVVIT League;868878;0;39;50;False;21
87;7685871060;2018;1713101297;9360721.0;KIBA ARMS;8831040.0;Ghost Sheep;15901;Ultras Dota Pro League  2023-24;868860;1;47;22;True;21
88;7685871015;1582;1713101295;9401765.0;PIDORI_SOSUNI;9408331.0;Родничек;16274;SIVVIT League;868877;0;36;17;True;21
89;7685868859;1130;1713101224;;;;;16274;SIVVIT League;0;0;52;5;True;21
90;7685867594;1066;1713101182;6017558.0;;9401739.0;team feed;16274;SIVVIT League;868876;0;32;4;True;21
91;7685865693;1982;1713101118;;;9389725.0;Yellow Submarine 2.0;16274;SIVVIT League;0;0;23;55;False;21
92;7685865404;2244;1713101109;;;;;16274;SIVVIT League;0;0;30;16;True;21
93;7685851866;2160;1713100660;9303383.0;L1GA TEAM;9081007.0;Sibe Team;15898;European Pro League  2023-2024 Season;868853;1;49;9;True;21
94;7685800690;2668;1713099600;8261500.0;Xtreme Gaming;8574561.0;Azure Ray;16483;Elite League by FISSURE and ESB;868868;1;29;12;True;21
95;7685758885;2377;1713097702;9280056.0;JustBetter;9360373.0;The Mad Ronin;16290;WINLINE InSight Season 5;868838;1;23;32;False;21
96;7685743867;1992;1713097089;7153571.0;Herman and CO.;;;16274;SIVVIT League;0;0;42;23;True;21
97;7685741013;2646;1713096993;;;;;16274;SIVVIT League;0;0;51;34;True;21
98;7685740534;1350;1713096976;9408302.0;For the Dream;;;16274;SIVVIT League;0;0;13;42;False;21
99;7685739893;2160;1713096992;8831040.0;Ghost Sheep;9360721.0;KIBA ARMS;15901;Ultras Dota Pro League  2023-24;868860;1;45;17;True;21
